Berufsfelder;;;;;;
1 Verkehr, Logistik, Schutz und Sicherheit;;;;;;
2 Gesundheit, Soziales, Lehre & Erziehung;;;;;;
3 Berufsfeld Kosmetik und Körperpflege;;;;;;
4 Kaufmännische Dienstleistungen, Warenhandel, Vetrieb;;;;;;
5 Hotel und Gastronomie, Lebensmittelherstellung und Verarbeitung ;;;;;;
6 Rohstoffgewinnung, Produktion & Fertigung;;;;;;
7 Naturwissenschaft, Informatik, Technik und Gestaltung;;;;;;
8 Banken & Versicherungen, Unternehmensorganisation, Buchhaltung, Recht & Verwaltung;;;;;;
9 Handwerk, Bau, Architektur, Vermessung & Gebäudetechnik;;;;;;
10 Sonstige Bildungsgänge der Berufskollegs und Weiterbildungen;;;;;;
11 Naturwissenschaft, Informatik, Technik und Gestaltung;;;;;;
12 Banken & Versicherungen, Unternehmensorganisation, Buchhaltung, Recht & Verwaltung;;;;;;
13 Handwerk, Bau, Architektur, Vermessung & Gebäudetechnik;;;;;;
14 Sonstige Bildungsgänge der Berufskollegs und Weiterbildungen;;;;;;
15 Land-, Fort- und Tierwirtschaft sowie Gartenbau;;;;;;
Verkehr, Logistik, Schutz und Sicherheit;;;;;;
Fachkraft für Lagerlogistik;;Beckhoff Automation GmbH;FOR/ 3 Jahre;M1;25/26;
Fachkraft für Lagerlogistik;;Gauselmann AG;HS oder FOR/ 3 Jahre;M1;FO1-1 (M1-Flur 1. Etage);
Fachkraft für Lagerlogistik;;Halfar SYSTEM GmbH;FOR/ 3 Jahre;H1;H0004;
Fachkraft für Lagerlogistik;;Hellmann Worldwide Logistics GmbH& Co.KG;HS/ 3 Jahre;M1-M2;FO1-1 (M1-Flur 1. Etage);
Fachkraft für Lagerlogistik;;Schaeffler Technologies GmbH & Co. KG;FOR/ 3 Jahre;M1;2/5;
Fachkraft für Lagerlogistik;;Studentenwerk Bielefeld -AöR-;HS/ 3 Jahre;H1;H2042;
Fachkraft für Lagerlogistik;;Weroca Kartonagen GmbH & Co.KG;HS- 10/ 3 Jahre;H1;H0006;
Fachkraft für Schutz und Sicherheit;;Besure Sicherheitsdienst GmbH;FOR/ 3 Jahre;M1;Übergang vom M1 zum M2 Gebäude 1. Etage;
Fachlagerist/in;;Gundlach Verpackung GmbH;guter HS/ 2 Jahre;H1;H 0006;
Fachlagerist/in;;OBI GmbH & Co. Deutschland KG, Filiale Bielefeld Nord;HS/ 2 Jahre;H1;Handelswelt, Empore 2. Etage;
Polizeibeamter im gehobenen Polizeivollzugsdienst;;Bundespolizeiakademie Einstellungsberatung Fuldatal;FHR oder AHR/ 3 Jahre;M1;118;
Polizeibeamter im mittleren Polizeivollzugsdienst;;Bundespolizeiakademie Einstellungsberatung Fuldatal;HS mit abgeschlossener Berufsausbildung bzw. FOR/ 2,5 Jahre;M1;118;
Polizeivollzugsbeamtin/-ter;;Polizeipräsidium Bielefeld;FHR oder AHR/ 3 Jahre;M1;119;
Zollbeamter Gehobener Dienst;;Hauptzollamt Bielefeld;AHR FHR od. gleichwertiger Abschluss/ 3 Jahre (Duales Studium);M1;119;
Zollbeamter Mittlerer Zolldienst;;Hauptzollamt Bielefeld;FORoder gleichwertiger Abschluss/ 2 Jahre;M1;119;
;;;;;;
Gesundheit, Soziales, Lehre & Erziehung;;;;;;
Altenpfleger/in;;Fachseminar für Altenpflege Bethel;HSA n. Kl. 10/ 3 Jahre vollzeit - 4 Jahre berufsbgeleitend;M1;105;
Altenpfleger/in (staatlich examenierte/r);;apm gGmbH, Akademie für Pflegeberufe und Management;Sek I-10/ 3 Jahre;M1;114;
Assistent/-in Ernährung und Versorgung-Schwerpunkt Service;;Maria-Stemme-Berufskolleg;HS-9/ 2 Jahre;H1;H 1039;nur freitags
Diakon/in ;;Ev. Bildungsstätte für Diakonie und Gemeinde;Berufsabschluss in sozialem Beruf/ 2-5 Jahre;M1;108;
Diätassistent/in;;Gesundheitsschulen im EvKB;FOR oder vergleichbarer Abschluss/ 3 Jahre;M1;108;
Ergotherapeut/in;;Gesundheitsschulen im EvKB;FHR oder AHR oder vergleichbare Qualifikation/ 3 Jahre;M1;108;
Ergotherapeut/in (staatl. anerkannt);;Westfalen-Akademie Lippstadt;FOR / 3 Jahre (oder verkürzt 2 Jahre);M1;110;
Erzieher/ -in (+ AHR);;Friedr.-v. Bodelschwingh-Schulen - Berufskolleg Bethel;FOR + Q/ 3 Jahre + 1 Jahr Berufspraktikum;M1;105;
Erzieher/in;;AWO - Berufskolleg für das Sozial-  und Gesundheitswesen;FOR + Berufsabschluss / FHR/ 3 Jahre;H1;H1042a;
Erzieher/in;;Friedr.-v. Bodelschwingh-Schulen, Berufskolleg Bethel;"FOR + einschlägiger Berufsabschluss (2-jährige Ausbildung) oder FOR+Berufsabschluss (3-jährige Ausbildung, nicht einschlägig)/2 Jahre + 1 Jahr Berufspraktikum, 3 Jahre praxisintegriert

";M1;105;
Erzieher/in (Fachschule für Sozialpädagogik);;Maria-Stemme-Berufskolleg;FOR+Berufsabschluss oder FHR Gesundheit und Soziales/ 2 Jahre + 1 Jahr Berufspraktikum;H1;H 1039;
Erzieher/in + AHR;;Maria-Stemme-Berufskolleg;FOR + Q/ 4 Jahre;H1;H 1039;
Erzieher/in + AHR (Abitur);;Friedr.-v. Bodelschwingh-Schulen, Berufskolleg Bethel;FOR Q-Vermerk/ 3 Jahre + 1 Jahr Berufspraktikum;M1;105;
"Ev. Diakon/in
in Kombination mit Pflegeausbildung (z.B. Krankenpflege, Heilerziehungspflege, Altenpflege)- in Planung";;Ev. Bildungsstätte für Diakonie und Gemeinde;Abschluss entsprechend denErfordernissen der Fachschulen/ Fachoberschulen oder Pflegeausbildung/ berufsbegleitend 1 Jahr vor und 2 Jahre nach Fachausbildung;M1;108;
Gesundheits- u. Kinderkrankenpfleger/in/ Bei entsprechenden Qualifiaktionen besteht die Möglichkeit für ein ausbildungsbegleitendes, duales Studium der Pflegewissenschaft  an der FH der Diakonie ;;Gesundheitsschulen im EvKB;FOR oder vergleichbarer Abschluss/ 3 Jahre;M1;108;
Gesundheits- u. Krankenpflegeassistent/in (Ausbildungsbeginn 01.04.);;Gesundheitsschulen im EvKB;HS 10/ 1 Jahr;M1;108;
Gesundheits- u. Krankenpfleger;;Gesundheitsschulen im EvKB;FOR oder vergleichbarer Abschluss/ 3 Jahre;M1;108;
Gymnastiklehrer/in, staatl. geprüft;;Berufskolleg für Gymnastik;FOR/ 3 Jahre;H1;H1038;
Hauswirtschafter/in;;Landwirtschaftskammer NRW, Münster;HS/ 3 Jahre;H1;H 0032;
Hauswirtschafter/in;;Maria-Stemme-Berufskolleg;HS-9/ 2 Jahre;H1;H 1039;
Heilerziehungspfleger/in (staatlich geprüft);;Friedr.-v. Bodelschwingh-Schulen;"FOR + einschlägiger Berufsabschluss (2-jährige Ausbildung) oder FOR+Berufsabschluss (3-jährige Ausbildung, nicht einschlägig)+900 Stunden Praxis oder FHR im Schwerpunkt Gesundheitswesen, FOS 11/12 oder AHR+900 Stunden Praxis

";M1;105;
Heilerziehungspfleger/in ;;Friedr.-v. Bodelschwingh-Schulen;"FOR + einschlägiger Berufsabschluss (2-jährige Ausbildung) oder FOR+Berufsabschluss (3-jährige Ausbildung, nicht einschlägig)+900 Stunden Praxis oder FHR im Schwerpunkt Gesundheitswesen, FOS 11/12 oder AHR+900 Stunden Praxis

";M1;105;
Heilerziehungspfleger/in (staatlich geprüft);;AWO - Berufskolleg für das Sozial- und Gesundheitswesen;FOR + Berufsabschluss / FHR/ 3 Jahre;H1;H1042a;
Kinderpfleger/in;;Maria-Stemme-Berufskolleg;HS-9/ 2 Jahre;H1;H 1039;
Medizinische/r Fachangestellte/r;;Ärztekammer Westfalen-Lippe ;FOR/ 3 Jahre;M1;112;
Physiotherapeut/in (staatl. anerkannt);;Westfalen-Akademie Lippstadt;FOR/ 3 Jahre;M1;110;
Rettungssanitäter/in (staatl. anerkannt);;Westfalen-Akademie Lippstadt;HS-9/ 4 Monate;M1;110;
Sozialassistent/in mit Schwerpunkt Heilerziehung (staatlich geprüft);;Friedr.-v. Bodelschwingh-Schulen - Berufskolleg Bethel;HS-9/ 2 Jahre;M1;105;
Sozialassistent/in;;"Friedr.-v. Bodelschwingh-Schulen,
Berufskolleg Bethel";HS-9/ 2 Jahre;M1;105;
Sozialassistent/in (staatlich geprüft);;"Friedr.-v. Bodelschwingh-Schulen,
Berufskolleg Bethel";HS-9/ 2 Jahre;M1;105;
Sozialassistent/-in;;Maria-Stemme-Berufskolleg;HS-9/ 2 Jahre;H1;H 1039;
Sozialassistent/in, Schwerpunkt Heilerziehung;;"Friedr.-v. Bodelschwingh-Schulen,
Berufskolleg Bethel";HS-9/ 2 Jahre;M1;105;
;;;;;;
Berufsfeld Kosmetik und Körperpflege;;;;;;
Friseur/in;;Maria-Stemme-Berufskolleg;HS-9/ 2 Jahre;H1;H 1039;
Fußpfleger/in;;Detmolder Schule für Kosmetik-Petra Bork;3 Monate;H1;H1049;
Kosmetiker/in;;Detmolder Schule für Kosmetik-Petra Bork;Sek I-10/ 2 Jahre;H1;H1049;
Masseur/-in (staatl. anerkannt) und med. Bademeister/in;;Westfalen-Akademie Lippstadt;HS-9/ 2 Jahre + 0,5 Anerkennungsjahr;M1;110;
Visagist/in;;Detmolder Schule für Kosmetik-Petra Bork;in der 2-jährigen Kosmetikausbildung kostenlos enthalten;H1;H1049;
;;;;;;
Kaufmännische Dienstleistungen, Warenhandel, Vetrieb;;;;;;
Automobilkauffrau/-mann;;Innung des KFZ-Handwerks;HS-9/ 3 Jahre;M3;903;
Drogist/in;;dm-drogerie markt;guter HS-9/ 3 Jahre;H1;Handelswelt, Empore 2. Etage;
Fachfrau/-mann für Systemgastronomie;;DEHOGA Ostwestfalen e. V.;HS-9/ 3 Jahre;H1;Flur 2. Etage;
Fachgehilfe/-in im Gastgewerbe;;DEHOGA Ostwestfalen e. V.;HS-9/ 3 Jahre;H1;Flur 2. Etage;
Fachmann/-frau für Systemgastronomie;;Studentenwerk Bielefeld -AöR-;HS/ 3 Jahre;H1;H 2042;
"Fachverkäufer/-in im Lebensmittelhandwerk
(Schwerpunkt Konditorei)";;Konditoren-Innung;FOR/ 3 Jahre;H1;H 2023;
Fleischer/in im Verkauf;;Marktkauf Bielefeld;HS/ 3 Jahre;H1;Handelswelt, Empore 2. Etage;
Handelsfachwirt/in;;dm-drogerie markt;AHR/ 1 Jahr;H1;Handelswelt, Empore 2. Etage;
Hotelfachfrau/-mann;;DEHOGA Ostwestfalen e. V.;;H1;H 2004;
Immobilienkauffrau/-mann;;"BGW - Bielefelder Gemeinnützige
Wohnungsgesellschaft mbH";FOR + Q/ 3 Jahre;H1;H 0008;
Immobilienkauffrau/-mann;;Goldbeck GmbH;FHR/ 2,5 Jahre;M1; 2/5;
Industriekauffrau/-mann;;Goldbeck GmbH;FHR/ 2,5 Jahre;M1; 2/5;
Industriekauffrau/-mann;;Beckhoff Automation GmbH;FHR/ 3 Jahre;M1;25/26;
Industriekauffrau/-mann;;"Deutsche Telekom AG
Telekom Ausbildung
Ausbildungszentrum Bielefeld";HS/FOR/ AHR/ 3 Jahre;M1;FO1 (Forum M1);
Industriekauffrau/-mann;;Dr. August Oetker Nahrungsmittel KG;FHR/ 2,5 Jahre;M1; 2/5;
Industriekauffrau/-mann;;Dr. August Oetker Nahrungsmittel KG;FOR/ 3 Jahre;M1; 2/5;
Industriekauffrau/-mann;;"Euscher GmbH & Co. KG
Präzisions -Tiefziehtechnik";FOR sehr guter/ 3 Jahre;M1; 2/5;
Industriekauffrau/-mann;;Gundlach Verpackung GmbH;FHR oder AHR oder Höhere Handelsschule;h1;H0006;
Industriekauffrau/-mann;;Schaeffler Technologies GmbH & Co. KG;FOR/ 3 Jahre;M1;2/5;
Industriekauffrau/-mann;;Weroca Kartonagen GmbH & Co.KG;FOR/ 3 Jahre;H1;H0006;
Industriekauffrau/-mann;;Halfar SYSTEM GmbH;AHR/ FHR sowie gute Englischkenntnisse/ 3 Jahre (Verkürzung möglich);H1;H 0004;
Informatikkauffrau/-mann;;Dr. August Oetker Nahrungsmittel KG;FHR/ 2,5 Jahre;M1; 2/5;
Informatikkauffrau/-mann;;Lynx-Consulting GmbH;AHR/ FHR/ 3 Jahre;M1;4;
Informatikkauffrau/-mann (2016 wird keine Ausbildung in diesem Beruf angeboten);;"von Bodelschwinghsche Stiftungen Bethel
Dankort
Abteilung PR Information";FHR oder AHR/ 3 Jahre;M1;105;
Informatikkaufmann/frau;;Boge Kompressoren Otto Boge GmbH  Co. KG;FOR/ 3 Jahre;M1;4;
IT-Systemkauffrau/-mann;;"Deutsche Telekom AG
Telekom Ausbildung
Ausbildungszentrum Bielefeld";HS/FOR/ AHR/ 3 Jahre;M1;FO1 (Forum M1);
Kauffrau/-mann für Büromanagement;;Creditreform Bielefeld Riegel+Unger KG;AHR/FHR/FOR+Q;H1;H 0008;
Kauffrau/ -mann für Büromanagement;;Volksbank Bielefeld Gütersloh eG;FOR/ FHR/ ARH/ 3 Jahre;M1;111;
Kauffrau/ -mann für Spedition und Logistikdienstleistung;;Hellmann Worldwide Logistics GmbH& Co.KG;FOR/ 3 Jahre;M1-M2;FO1-1 (M1-Flur 1. Etage);
Kauffrau/ -mann im Einzelhandel;;Nanu-Nana Joachim Hoepp GmbH  Co. KG;FOR/ 3 Jahre;H1;Handelswelt, Empore 2. Etage;
Kauffrau/ -mann im Einzelhandel;;OBI GmbH & Co. Deutschland KG, Filiale Bielefeld Nord;FOR oder guter HS/ 3 Jahre;H1;Handelswelt, Empore 2. Etage;
Kauffrau/-mann im Groß- und Außenhandel;;Brillux GmbH & Co. KG;FOR/ 3 Jahre;H1;Empore 1. Etage;
Kauffrau/-mann im Groß- und Außenhandel;;Phoenix Pharmahandel GmbH&Co KG Vertriebszentrum Bielefeld ;FOR/ 3 Jahre;H1;H 1039;
"Kauffrau/ -mann im Groß- und Außenhandel 
(Schwerpunkt Großhandel)";;Halfar SYSTEM GmbH;FHR/ 3 Jahre (Verkürzung möglich);H1;H 0004;
Kauffrau/ -mann für Büromanagement;;ALDI GmbH & Co. KG;FOR/ 3 Jahre;H1;Handelswelt, Empore 2. Etage;
Kauffrau/-mann für Büromanagement;;"Deutsche Telekom AG
Telekom Ausbildung
Ausbildungszentrum Bielefeld";HS/FOR/ AHR/ 3 Jahre;M1;FO1 (Forum M1);
Kauffrau/-mann für Büromanagement;;Studentenwerk Bielefeld -AöR-;FOR/ FHR/ 3 Jahre;H1;H 2042;
Kauffrau/-mann für Büromanagement mit Zusatzqualifiaktion Fremdsprachkorrespondent/in;;"Deutsche Telekom AG
Telekom Ausbildung
Ausbildungszentrum Bielefeld";HS/FOR/ AHR/ 3 Jahre;M1;FO1 (Forum M1);
Kauffrau/-mann für Dialogmarketing;;"Deutsche Telekom AG
Telekom Ausbildung
Ausbildungszentrum Bielefeld";HS/FOR/ AHR/ 3 Jahre;M1;FO1 (Forum M1);
Kauffrau/-mann im Einzelhandel;;ALDI GmbH & Co. KG;HS-10/ 3 Jahre;H1;Handelswelt, Empore 2. Etage;
Kauffrau/-mann im Einzelhandel;;"Deutsche Telekom AG
Telekom Ausbildung
Ausbildungszentrum Bielefeld";HS/FOR/ AHR/ 3 Jahre;M1;FO1 (Forum M1);
Kauffrau/-mann im Einzelhandel;;Ikea Deutschland GmbH & Co. KG;FOR/ 3 Jahre;H 1 ;Handelswelt, Empore 2. Etage;
Kauffrau/-mann im Einzelhandel;;Peek & Cloppenburg;FOR/ 3 Jahre;H 1 ;Handelswelt, Empore 2. Etage;
Kauffrau/Kaufmann im Gesundheitswesen;;Barmer GEK Bielefeld;HS-9/ 3 Jahre;M1;Übergang vom M1 zum M2 Gebäude 1. Etage;
Kauffrau/-mann im Gesundheitswesen;;"von Bodelschwinghsche Stiftungen Bethel
Dankort
Abteilung PR Information";FHR o AHR o Höhere Handelsschule/ 3 Jahre;M1;105;
Servicekraft für Dialogmarketing;;"Deutsche Telekom AG
Telekom Ausbildung
Ausbildungszentrum Bielefeld";HS/FOR/ AHR/ 3 Jahre;M1;FO1 (Forum M1);
Sozialversicherungsfachangestellte/r;;"AOK Nordwest
Die Gesundheitskasse";FOR/ 3 Jahre;M1;Übergang vom M1 zum M2 Gebäude 1. Etage;
Sozialversicherungsfachangestellte/r;;Barmer GEK Bielefeld;HS-9/ 3 Jahre;M1;Übergang vom M1 zum M2 Gebäude 1. Etage;
Steuerfachangestellte/r;;Steuerberaterkammer Westfalen-Lippe K.d.ö.R.;FOR oder Wirtschaftsabitur/ 3 Jahre;H1;H 1046;
Verkäufer/in;;ALDI GmbH & Co. KG;HS-10/ 2 Jahre;H1;Handelswelt, Empore 2. Etage;
Verkäufer/in;;Marktkauf Bielefeld;HS/ 2 Jahre;H1;Handelswelt, Empore 2. Etage;
Verkäufer/-in;;Nanu-Nana Joachim Hoepp GmbH  Co. KG;HSA/ 2 Jahre;H1;Handelswelt, Empore 2. Etage;
;;;;;;
→ Beratung zu den Berufen in diesem Segment findest Du auch in der Handelswelt;;Handelsverband Ostwestfalen- Lippe e.V.;;H1;Handelswelt, Empore 2. Etage;
;;;;;;
Hotel und Gastronomie, Lebensmittelherstellung und Verarbeitung ;;;;;;
Koch/Köchin;;DEHOGA Ostwestfalen e. V.;HS-9/ 3 Jahre;H1;H 2005;
Koch/Köchin (dieser Beruf wird bedarfsorientiert und daher nicht jedes Jahr angeboten);;Dr. August Oetker Nahrungsmittel KG;HS-9/ FOR 3 Jahre;M1;2/5;
Koch/Köchin;;Studentenwerk Bielefeld -AöR-;HS/ 3 Jahre;H1;H 2042;
Konditor/in;;Konditoren-Innung;FOR/ 3 Jahre;H1;H 2023;
Lebensmitteltechnische/r Assistent/in;;Carl-Severing-Berufskolleg für Handwerk und Technik;;H1;H 2034;
Milchwirtschaftliche/r Laborant/in;;Landwirtschaftskammer NRW, Münster;HS/ 3 Jahre;H1;H 0032;
Restaurantfachfrau/-mann;;DEHOGA Ostwestfalen e. V.;HS-9/ 3 Jahre;H1;H 2001;
;;;;;;
Rohstoffgewinnung, Produktion & Fertigung;;;;;;
Anlagenmechaniker/in für Sanitär-, Heizungs- und Klimatechnik;;Innung Sanitär und Heizungstechnik;HS-9/ FOR/ 3,5 Jahre;M2;52, 53, FO2 (Forum M2);
Anlagenmechaniker/in für Sanitär-, Heizungs- und Klimatechnik;;von Bodelschwinghsche Stiftungen Bethel;Sek I-10/ 3,5 Jahre;M1;105;
CNC Zerspanungsmechaniker-Fachrichtung Drehen, Fräsen;;Berg & Co.GmbH-Spanntechnik;HS oder FOR/ 3,5 Jahre;M1;4;
Elektomaschinenbauer/in;;Fachinnung Elektrotechnik;Sek I-10/ 3,5 Jahre;M2;FO2 (Forum M2);
Elektroniker für Betriebstechnik;;Dürkopp Adler AG;Sek I-FOR/ 3,5 Jahre;M1;2/5;
Elektroniker für Geräte und Systeme;;Gauselmann AG;AHR oder FOR/ 3,5 Jahre;M1;FO1-1 (M1-Flur 1. Etage);
Elektroniker/in - Fachrichtung Automatisierungstechnik;;Fachinnung Elektrotechnik;Sek I-10/ 3,5 Jahre;M2;FO2 (Forum M2);
Elektroniker/in - Fachrichtung Energie- und Gebäudetechnik;;Fachinnung Elektrotechnik;Sek I-10/ 3,5 Jahre;M2;FO2 (Forum M2);
Elektroniker/in - Fachrichtung Informations- und Telekommunikationstechnik;;Fachinnung Elektrotechnik;Sek I-10/ 3,5 Jahre;M2;FO2 (Forum M2);
Elektroniker/in Betriebstechnik;;Gildemeister Drehmaschinen GmbH;FOR/ 3,5 Jahre;M1;25/26;
Elektroniker/in für Automatisierungstechnik;;Beckhoff Automation GmbH;FOR/ 3,5 Jahre;M1;25/26;
Elektroniker/in für Automatisierungstechnik;;Bobst Bielefeld GmbH;FOR oder höher/ 3,5 Jahre;M1;25/26;
Elektroniker/in für Betriebstechnik;;Beckhoff Automation GmbH;HS 10/ 3,5 Jahre;M1;25/26;
Elektroniker/in Betriebstechnik;;Boge Kompressoren Otto Boge GmbH  Co. KG;FOR/ 3,5 Jahre;M1;4;
Elektroniker/in für Betriebstechnik;;Dr. August Oetker Nahrungsmittel KG;HS-9/ FOR 3,5 Jahre;M1;2/5;
Elektroniker/in für Geräte & Systeme;;Beckhoff Automation GmbH;FOR/ 3,5 Jahre;M1;25/26;
Elektroniker/in (Fachrichtung Energie- und Gebäudetechnik sowie Fachrichtung Informations- und Telekommunikationstechnik);;"von Bodelschwinghsche Stiftungen Bethel
Dankort
Abteilung PR Information";Sek I-10/ / 3,5 Jahre;M1;105;
